,true,HMC,BFGS,SQP
0,0.5,0.47797270688293503,1.0,0.9999972946543133
1,0.5,0.5243229301427046,0.4718226353084142,0.6739904786676645
2,0.5,0.48500635824622923,0.8178664279572212,0.9306280407091747
3,0.5,0.48504196577373887,0.6658385281373221,0.7099394109507589
4,0.2,0.40221072563847765,1.0,0.9999965505920146
5,0.2,0.3946393424676781,0.9811724011656178,0.6871155696494414
6,0.2,0.37588677168935253,0.8178664279572212,0.9306280407091747
7,0.2,0.09211953455800925,0.6658385281373221,0.7099394109507589
8,0.3,0.17723486306713568,0.0,2.022828054882798e-06
9,0.3,0.2545038078448366,0.27583529388712513,0.6706342887855425
10,0.3,0.21761932378906274,0.8178664279572212,0.9306280407091747
11,0.3,0.32701911686116975,0.6658385281373221,0.7099394109507589
12,1.0,1.003368737101554,1.0751642130240848,1.174306857472711
13,1.0,1.0039000189281126,0.03450797322818592,0.29346854749315104
14,1.0,1.0040364194680744,1.29762251748196,1.3646176598160555
15,1.0,1.0075723885664556,1.7431544369022702,1.5212870580638558
16,1.0,1.0016861987542354,1.589676470135115,1.3864651697155357
17,1.0,0.9964214350570936,2.189260378698983e-05,1.781671001701668e-08
18,0.25,0.2495477272245056,0.2492492833530044,0.2492492844344436
19,0.0,0.08815273772510383,0.5451844175963958,0.5159375174155395
