,TRUE,HMC,BFGS,SQP
0,0.5,0.452654687,0.479529525,0.822631078
1,0.5,0.416826385,0.767198378,0.732243516
2,0.2,0.164407575,1,0.257870592
3,0.2,0.336149292,0.767138106,0.73228231
4,0.3,0.292447854,0.050861148,6.58E-06
5,0.3,0.290032223,0.767193568,0.732119913
6,1,1.000895461,1.110555225,1.074794189
7,1,0.999149199,1.012151085,1.131812266
8,1,0.998067499,1.649214335,1.565314226
9,1,1.001178466,0,2.62E-21
10,0.25,0.244989505,0.243964138,0.243964164
11,0,0.051479056,0.499789541,0.433171208
