,cluster,store,product,m51,m52,SI,Y
0,1.0,1.0,1.0,22.311542944240493,32.31154294424049,0.9200466513286908,2.8637805680826895
1,1.0,1.0,1.0,40.755522712081095,50.755522712081095,0.8968460953453988,3.821604525460316
2,1.0,1.0,1.0,28.69370297194658,38.69370297194658,0.8958932015880888,3.2215863152301543
3,1.0,1.0,1.0,33.48569833095265,43.48569833095265,0.8941494279679956,3.4658121023546924
4,1.0,1.0,1.0,31.068843736801,41.068843736801,0.9210718382271251,3.3727007619211076
5,1.0,1.0,1.0,27.258990232000922,37.258990232000926,0.8861731175680686,3.1442759925794848
6,1.0,1.0,1.0,39.388455680466514,49.388455680466514,0.909354186844374,3.782438998646809
7,1.0,1.0,1.0,40.64513844118614,50.64513844118614,0.9142023984624496,3.8544716109576047
8,1.0,1.0,1.0,44.10112949799447,54.10112949799447,0.8966715430648358,4.014061453287212
9,1.0,1.0,1.0,34.27117509918912,44.27117509918912,0.8954781189217187,3.5170862538802243
10,1.0,1.0,1.0,31.986663751387624,41.986663751387624,0.8990899069277756,3.4024697314389734
11,1.0,1.0,1.0,53.120351922129224,63.120351922129224,0.8775938086122512,4.449636128641211
12,1.0,1.0,1.0,52.74698874194156,62.74698874194156,0.8906014728240953,4.448505697484702
13,1.0,1.0,1.0,27.8564239513245,37.8564239513245,0.9107150808620211,3.212231680772036
14,1.0,1.0,1.0,43.137194065793764,53.137194065793764,0.8957600875106696,3.9645172322893005
15,1.0,1.0,1.0,25.551785841239425,35.55178584123942,0.9033932966663643,3.082244845954732
16,1.0,1.0,1.0,36.31038699417142,46.31038699417142,0.9038205490858342,3.623209569865053
17,1.0,1.0,1.0,32.307734233597216,42.307734233597216,0.8615601732730556,3.3787218985989065
18,1.0,1.0,1.0,43.92616103869178,53.92616103869178,0.9002153411516517,4.005816058751043
19,1.0,1.0,1.0,40.57293834917698,50.57293834917698,0.8915359711350433,3.830900518022597
20,1.0,1.0,1.0,60.89978840428775,70.89978840428775,0.8939050872310235,4.861204936451986
21,1.0,1.0,1.0,40.419713087431376,50.419713087431376,0.9204728279956457,3.8589552112076326
22,1.0,1.0,1.0,39.516592780861146,49.516592780861146,0.9081806712263597,3.7982126972564796
23,1.0,1.0,1.0,34.86846078411076,44.86846078411076,0.8880790808920734,3.5410169759736947
24,1.0,1.0,1.0,39.154107194878236,49.154107194878236,0.9035977037379163,3.7710434338616508
25,1.0,1.0,1.0,27.845499188943904,37.845499188943904,0.8983114642706463,3.1922619517778825
26,1.0,1.0,1.0,25.87069265842837,35.87069265842837,0.9087303211467973,3.0971148615713986
