,TRUE,HMC,BFGS,SQP
0,0.5,0.48068408,0.854281121,0.786409231
1,0.5,0.540722097,0.457915722,0.811756665
2,0.5,0.499056399,0.817866428,0.205597208
3,0.5,0.460141083,0.665838528,0.762896172
4,0.2,0.384394601,1,0.999250701
5,0.2,0.327137037,1,0.811756665
6,0.2,0.321054021,0.817866428,0.111220845
7,0.2,0.098866308,0.665838528,0.762896172
8,0.3,0.218607761,0,0.708873173
9,0.3,0.201014231,0.258413244,0.811756665
10,0.3,0.168650964,0.817866428,0.021890946
11,0.3,0.3125224,0.665838528,0.762896172
12,1,1.000331034,1.058537938,1.428884518
13,1,1.00071703,0.096836574,1.416534794
14,1,1.001675294,1.277981774,1.456001537
15,1,1.003696789,1.729008453,0
16,1,1.000353755,1.574965211,1.435909072
17,1,0.996439597,0,0
18,0.25,0.24034922,0.239859925,0.239859945
19,0,0.076990638,0.532466502,0.520575662
